Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Asia,Southern Asia,Maldives,4.27,3.53,7,6.5,2,2,5,2,6.5,3.5,4,2,3.5,3.5,1,2,2.5,5,6.5,6,5,4.5,3,4.08,5.5,6,5.5,5.5,3,4,3,3.5,3,2,3,5
Africa,East Africa,Tanzania,6.2,6.4,6.5,7,6,7,8,6.5,8,6,7,5.5,5,5.5,7,7,4,6,3.5,7,6.5,6.5,6.5,4.13,5.5,2.5,4.5,5.5,5,3.5,4.5,5,5,3,3,2.5
Americas,Caribbean & Central,Mexico,7.57,8.13,8,9,8.5,7.5,7,7.5,8,9,8,9,7.5,8.5,8.5,7,9,7,9,9,7.5,3.5,6,4.21,3,3,6.5,5.5,4,5,3,4,5,3.5,4,4
Asia,South-Eastern Asia,Philippines,6.63,6.57,7.5,5.5,7.5,7,7.5,8,4,4,4.5,9,7.5,8,7,6,5.5,6.7,8,6.5,8,7.5,3.5,4.21,3,2.5,5.5,5,4.5,2,4,5,6,5,3.5,4.5
Asia,South-Eastern Asia,Indonesia,6.85,6.6,7.5,6.5,4.5,8,8,8,3.5,4,6.5,7,7.5,8,7.5,6.5,6,7.1,6,7.5,8,6,8,4.25,4,3.5,6,5,3.5,3.5,4,5,4.5,4.5,4,3.5
Oceania,Melanesia,Kiribati,2.45,2.6,5,1.5,2,1,6,2,1,3,3,1,2,4,2,3,2.5,2.3,1,4,1.5,3,2,4.33,5.5,5.5,5,6,4,5,4.5,4,3,1,3,5.5
Americas,South America,Peru,6.4,6.2,7,6.5,6.5,7,6,9,5.5,9,6,4.5,5,5.5,9,2,4.5,6.6,7,8.5,7.5,6,4,4.38,2.5,5.5,5,6,6.5,3.5,5,4,4,3.5,3,4
Africa,North Africa,Algeria,4.88,5.17,4,7,4.5,2,5.5,7,2.5,4,7,6.5,4,8,6,6.5,3,4.6,1.5,5,7.5,5,4,4.38,4.5,3,5,6,3,6,6.5,5,4.5,3,3.5,2.5
Africa,East Africa,Djibouti,4.65,4.3,6.5,7.5,7.5,2,5,3,2.5,2,3.5,1.5,1.5,6.5,5.5,6.5,3.5,5,1.5,5,5.5,7,6,4.38,4,3,6.5,4.5,4,4,5.5,5,5.5,3,4,3.5
Asia,Southern Asia,Bangladesh,5.12,5.03,8,6.5,5,5,5.5,3.5,4.5,3,4,6.5,5,4.5,4.5,3.5,6.5,5.2,6,6,7,4,3,4.42,4,4,6,5,3,4,5,5.5,5,3.5,4,4
